tenure_years,product_count,has_direct_deposit,login_freq_90d,avg_balance_trend,nsf_count_6m,complaints_6m,cd_maturing_90d,debit_swipe_delta,churn
0.23,4,0,15,1104.81,1,0,0,-14.5,0
5.64,3,0,25,553.31,0,0,0,29.01,0
4.19,4,1,16,353.46,0,0,0,4.17,0
0.32,3,0,18,325.31,0,0,1,28.08,0
1.96,1,1,20,491.96,3,0,0,-3.99,0
14.33,2,0,23,-497.82,0,0,0,4.08,0
1.64,1,1,26,97.3,1,3,0,6.48,0
0.94,4,1,21,191.6,0,0,1,-2.52,0
4.03,3,1,16,-200.07,1,0,0,19.08,0
25.46,3,0,21,232.4,3,0,1,28.99,0
1.66,2,1,24,615.85,0,0,0,-34.4,0
6.69,1,1,20,-210.88,0,0,0,12.22,0
8.6,3,1,13,-27.21,0,0,0,-13.42,0
1.63,2,0,18,-410.29,2,0,1,-38.89,0
7.82,1,0,16,-893.49,0,0,1,7.76,0
2.75,3,0,14,389.47,0,0,0,7.79,0
6.0,1,0,26,-12.87,0,0,0,10.2,0
6.02,2,1,19,23.79,0,0,0,5.57,0
4.6,2,1,23,-493.39,0,1,0,13.13,1
0.57,1,0,19,-92.75,3,0,1,-9.05,0
10.82,5,1,17,548.3,0,0,0,3.95,0
2.32,1,1,22,0.41,0,0,0,10.47,0
1.24,1,1,21,14.59,2,0,0,20.29,0
0.25,1,1,23,103.76,0,1,0,0.66,0
5.36,3,1,18,-618.19,1,0,0,-3.21,0
6.79,2,1,17,312.46,1,0,1,-0.83,0
0.1,3,1,18,-627.6,0,0,1,-17.9,0
4.31,1,1,17,-469.81,0,0,0,11.54,1
1.54,1,1,19,-524.61,0,1,0,-21.86,0
6.22,2,1,14,-87.61,0,0,0,5.86,0
1.15,4,1,23,-176.23,0,0,0,1.27,0
7.05,4,0,20,-0.61,4,0,1,-23.26,1
2.93,1,1,16,-452.63,0,0,0,-22.41,0
16.56,2,0,23,502.75,2,0,0,-12.81,0
0.89,4,0,24,417.01,0,0,1,-5.16,0
2.5,2,0,19,-86.91,3,2,0,22.21,1
0.72,4,1,18,-239.18,1,0,0,-1.66,0
15.52,1,1,21,-289.68,1,0,0,8.2,0
12.59,5,1,28,-155.07,0,0,1,19.0,0
1.79,3,0,19,-700.12,0,0,0,16.1,0
6.47,5,1,19,-479.8,0,1,1,-0.11,0
10.2,3,0,23,430.06,1,0,1,-10.58,0
4.86,2,0,16,150.91,2,0,0,7.48,0
4.53,5,1,18,817.14,0,0,0,-10.28,0
1.66,2,1,19,-149.6,2,0,0,27.22,0
0.59,2,0,17,-180.76,3,0,1,13.02,0
13.65,3,1,17,-203.95,0,0,0,3.13,0
13.84,3,1,16,-159.58,0,0,1,7.69,0
6.02,5,0,20,-329.98,1,1,0,2.67,0
2.48,1,1,22,135.49,0,0,1,-5.52,0
2.58,3,0,18,14.55,1,0,0,7.48,0
7.77,3,0,15,-254.96,1,0,0,-3.64,1
13.64,1,0,24,625.57,0,0,0,29.05,0
13.09,2,1,17,948.29,0,0,0,-10.39,0
9.08,2,1,9,583.29,0,0,0,7.63,0
6.16,2,1,17,279.06,3,0,0,-11.74,0
0.53,5,1,16,380.88,0,0,0,-11.9,0
1.06,3,1,18,928.21,0,0,0,-26.79,0
13.73,3,1,22,380.16,2,0,0,6.17,0
5.59,5,1,18,-292.59,0,0,0,-7.99,0
0.1,2,1,11,196.14,1,0,1,16.25,1
0.64,4,0,25,313.12,0,0,0,6.2,0
6.53,2,1,15,-497.36,0,0,0,2.22,0
0.1,4,1,15,-142.47,0,0,1,-21.16,0
1.05,1,0,18,550.2,0,0,1,8.77,0
4.77,5,0,17,-911.75,4,0,1,-9.93,0
7.06,1,1,21,-625.21,0,0,1,-21.49,0
6.33,2,1,20,-88.2,0,0,0,6.46,0
1.52,3,0,18,176.84,0,0,0,-18.87,0
7.47,2,0,11,-678.82,0,0,0,-31.37,1
1.62,3,0,16,-63.39,0,0,0,19.46,0
2.36,2,0,18,576.88,0,0,0,-8.41,0
8.23,3,1,22,34.33,3,0,0,-26.17,0
6.29,1,1,15,469.54,0,0,0,-14.44,1
11.35,1,1,18,-296.06,0,0,0,-10.82,0
6.43,2,0,13,-404.96,0,0,0,17.16,0
5.04,2,0,24,424.44,0,0,0,-24.94,1
0.59,1,0,24,184.63,0,0,1,-20.08,1
2.75,2,1,13,-592.8,0,0,0,14.71,0
1.85,2,1,17,-400.42,0,0,1,-6.75,0
1.68,1,1,22,782.29,0,0,0,3.42,0
21.67,3,0,27,-462.28,0,0,0,-7.36,0
3.0,4,0,14,467.16,0,0,0,30.31,0
13.36,1,1,12,-239.09,0,0,0,-19.35,0
5.98,3,1,14,-1.59,0,1,0,4.23,0
9.5,3,1,12,147.3,3,0,1,22.54,0
4.19,2,1,20,-1050.49,1,0,0,-5.62,1
5.16,3,0,21,-731.36,4,0,1,-11.31,1
4.07,2,1,12,43.17,0,1,0,11.51,0
1.3,2,0,21,-362.15,1,0,0,15.06,0
7.69,1,0,19,498.29,0,0,0,-12.0,1
1.98,3,0,15,-803.06,1,0,0,21.93,0
0.15,3,1,22,282.63,0,0,0,0.77,0
6.22,1,0,20,-688.11,0,0,0,7.63,1
1.17,2,1,19,-176.05,0,0,1,22.32,0
16.93,5,1,15,-532.19,0,0,0,11.53,0
18.47,2,1,24,951.21,0,0,1,-0.0,0
14.78,2,1,19,-669.75,0,0,0,-10.07,0
2.77,4,1,17,-61.03,0,0,0,40.63,0
0.1,3,1,22,-863.42,3,0,0,-11.84,1
15.81,3,0,17,799.79,2,0,0,4.77,0
3.35,3,1,19,200.64,0,2,0,7.65,0
20.41,4,0,24,68.49,0,0,0,8.36,0
19.88,2,0,17,737.16,0,0,0,31.92,0
11.5,2,1,17,73.71,0,0,0,0.71,0
2.09,2,0,19,109.79,0,0,0,-1.43,0
2.92,5,1,17,65.86,0,0,0,23.28,0
11.43,3,1,24,281.82,1,0,1,-2.04,0
2.29,1,1,15,-246.22,0,0,0,13.14,0
1.11,4,0,14,-107.14,0,0,0,2.92,0
4.88,2,1,22,405.17,0,0,0,13.81,0
16.51,1,0,21,138.69,0,1,0,10.88,0
7.14,2,1,14,-57.12,1,2,0,-6.05,0
5.06,2,0,15,-700.26,0,0,0,-27.66,0
0.61,4,1,18,749.03,0,0,0,-25.11,0
5.73,1,0,20,-330.73,1,0,1,-27.61,1
27.66,4,0,18,493.62,0,0,0,-1.37,0
0.91,3,0,19,87.88,0,0,0,-35.29,1
4.38,1,0,19,-646.73,0,2,0,-2.4,1
12.59,5,0,14,626.14,0,0,0,2.01,0
8.1,2,1,15,127.27,0,0,0,12.84,0
7.16,2,1,25,667.67,1,0,1,7.57,0
7.27,2,1,22,-91.2,0,0,0,13.53,0
2.67,4,1,21,352.03,0,0,0,6.21,0
2.09,2,1,26,-881.26,3,0,0,-4.85,0
9.94,1,1,13,-250.11,0,0,0,-1.59,0
9.97,1,1,18,-636.5,5,1,0,-12.77,1
12.11,2,0,15,-187.39,0,1,0,3.42,0
14.67,3,1,23,235.91,1,0,1,-23.76,0
4.3,2,0,20,-302.29,1,0,0,15.99,0
4.18,1,1,15,431.92,2,0,0,-14.35,1
9.61,1,0,17,-428.31,0,0,0,2.31,0
6.3,2,0,14,442.62,0,0,1,4.82,0
7.26,5,1,17,654.88,0,0,0,17.44,0
9.53,2,1,19,506.76,3,0,0,-25.22,0
13.24,5,1,11,-172.09,0,0,0,-4.88,0
2.47,2,1,16,-1062.73,2,0,0,8.25,0
2.83,1,0,17,291.08,0,0,0,26.27,0
0.59,4,0,22,-62.62,0,2,0,-0.58,0
5.18,2,1,25,-489.2,0,2,0,-8.92,0
0.22,3,1,18,-278.14,0,0,1,30.4,0
3.76,5,1,17,717.21,2,0,0,12.04,0
4.69,1,1,21,-568.67,0,0,0,20.6,0
2.03,1,0,25,234.15,2,0,0,-18.14,0
5.36,3,1,18,108.98,0,0,0,7.82,0
0.19,2,1,15,-178.69,1,0,0,-16.25,0
0.23,1,1,16,322.27,1,0,0,-19.58,0
10.38,1,1,17,816.12,0,0,0,8.73,0
2.68,1,0,25,-147.99,0,0,1,9.78,0
0.82,3,1,18,-121.59,0,0,1,-7.23,0
4.43,1,0,20,311.03,0,0,0,21.48,1
8.82,2,0,11,459.12,2,0,0,-5.54,0
1.46,3,1,17,-63.85,3,0,0,-4.05,0
5.85,2,1,15,-152.69,1,0,0,-0.54,0
0.54,1,0,20,-1108.82,1,0,0,-3.64,1
0.32,3,0,12,-389.0,0,0,0,19.16,0
4.55,1,0,12,-569.66,0,0,0,-15.63,1
4.67,3,1,19,342.31,1,0,0,-11.32,0
6.09,4,0,12,-121.95,0,0,0,-17.87,0
7.77,2,1,20,-141.51,1,0,0,28.25,0
22.34,2,0,19,-4.53,1,0,0,-4.87,0
4.36,2,0,16,-435.09,0,0,1,-11.53,0
2.34,2,1,25,776.62,0,0,0,-4.31,0
9.51,4,0,11,649.1,1,0,0,12.74,1
1.9,4,1,15,809.05,0,0,1,9.96,0
3.47,2,0,20,341.71,1,0,0,-8.63,0
0.49,3,1,15,-14.74,0,0,1,-5.99,1
0.15,5,0,22,807.36,0,0,0,-21.83,0
19.72,5,1,14,-340.48,0,0,1,2.08,0
10.85,2,0,13,-435.6,1,0,0,19.23,0
7.14,2,1,16,-300.76,0,0,0,-8.73,0
3.16,2,1,12,261.44,0,0,1,9.54,0
1.14,5,1,18,-381.05,0,0,1,-8.73,0
1.02,1,0,19,-77.69,0,0,0,-16.43,1
1.73,3,1,17,-800.93,0,0,0,10.2,0
4.78,2,0,13,240.55,0,0,1,35.21,0
7.52,2,1,24,-758.55,0,0,0,8.15,0
6.48,2,0,12,-466.08,0,0,0,-6.21,0
1.97,5,1,19,608.58,0,0,0,-5.24,0
18.59,1,1,16,590.16,0,0,0,28.64,0
8.03,3,1,10,187.16,0,0,0,4.6,0
4.85,1,1,22,137.83,0,0,1,-11.49,0
5.68,1,1,11,-265.48,0,0,0,-0.93,1
3.26,2,1,15,-386.45,5,0,1,3.23,1
1.71,2,0,15,-181.12,0,0,0,7.04,1
2.64,2,0,21,-756.83,0,0,0,22.68,0
8.51,2,0,17,126.22,0,0,0,19.14,0
0.1,1,1,22,24.42,2,0,0,2.97,0
0.74,2,0,24,-466.71,2,0,0,-0.62,0
0.28,5,1,16,784.34,0,0,0,5.94,0
0.25,5,0,21,303.46,1,0,0,-9.12,0
11.61,2,1,13,345.92,0,0,0,14.7,1
7.3,3,1,13,-243.67,0,0,0,-3.05,0
3.86,4,1,14,-0.67,0,0,1,7.36,0
0.62,1,0,23,313.69,0,0,0,25.7,0
4.06,4,1,19,76.39,0,0,1,8.29,0
3.85,5,0,19,800.95,0,0,1,3.46,0
1.14,1,1,24,-101.89,0,0,0,-7.76,0
3.41,1,0,16,-252.28,1,0,0,-1.17,0
3.05,5,0,20,317.13,0,3,0,-17.04,1
5.74,2,1,17,-632.32,0,1,0,8.0,1
6.05,1,1,13,462.15,0,0,1,-32.02,1
0.28,2,0,10,-650.36,0,0,0,14.53,1
2.82,2,1,15,319.29,0,0,0,10.98,0
5.9,3,1,21,-324.14,0,0,0,1.47,0
4.2,3,0,20,238.29,0,0,0,-8.0,0
11.65,5,0,18,453.67,0,0,0,-0.24,0
6.45,2,1,23,76.71,2,0,0,-26.61,0
1.07,2,0,15,-599.81,0,0,0,12.36,0
0.44,2,1,7,-448.39,0,0,0,-2.46,0
6.17,2,1,16,-364.33,0,0,1,22.73,0
0.16,1,0,15,-947.5,5,0,1,5.88,1
5.29,5,1,14,563.74,0,1,0,3.47,0
16.9,4,1,26,55.05,0,0,0,6.01,0
5.14,2,0,14,-567.76,0,0,0,-14.63,0
2.95,3,0,26,727.84,0,0,0,-6.76,0
6.18,1,0,22,-350.66,0,0,0,1.99,0
3.68,2,0,23,125.29,0,1,0,-4.54,1
4.73,3,0,15,-412.64,0,1,0,-8.65,1
17.03,2,1,14,-1009.13,0,0,0,-4.24,0
2.93,5,1,16,-682.22,0,0,0,0.66,0
19.49,3,0,24,-224.25,1,2,0,34.78,0
14.15,2,1,17,449.15,0,2,0,-4.88,0
1.31,3,0,16,173.27,2,0,0,-10.16,0
0.43,1,0,15,70.1,0,0,0,-2.29,0
0.64,2,1,17,-1005.01,1,0,0,22.52,0
0.11,2,0,19,635.04,0,0,0,23.6,0
0.6,2,1,15,111.84,0,1,1,29.24,0
6.89,3,1,14,-59.71,1,0,0,0.91,0
0.44,2,0,18,566.21,1,0,0,9.62,0
2.3,3,1,27,623.75,0,0,0,-15.75,1
11.18,3,1,16,577.3,1,0,1,-5.3,0
0.14,2,1,13,-123.54,1,0,0,-16.73,0
10.11,4,0,21,-501.74,0,0,0,7.1,0
1.99,1,0,18,494.46,2,0,0,0.58,1
0.75,1,0,19,-682.53,0,0,0,3.39,0
7.16,2,0,19,973.63,0,0,0,-12.69,0
5.95,2,1,20,14.0,0,1,0,12.76,0
12.6,1,0,18,-530.44,0,0,0,-36.11,0
7.97,3,0,16,-615.93,2,0,0,-3.78,0
9.76,2,1,24,-638.8,0,0,0,-1.6,0
1.99,2,1,26,70.18,0,0,0,-30.32,0
1.17,5,0,18,-3.2,2,0,0,5.76,0
8.33,3,0,13,-617.96,1,0,0,-2.6,0
9.87,4,0,24,-178.23,0,1,0,8.42,0
27.94,1,0,18,-683.97,0,0,0,30.0,0
3.19,3,1,21,294.65,1,0,0,4.87,0
2.79,4,0,19,-27.3,0,0,0,14.59,0
8.99,3,1,29,-189.2,0,0,1,20.71,0
2.5,3,1,26,-644.06,0,0,0,7.38,0
16.02,2,0,19,-150.08,0,0,0,-12.99,0
11.73,1,1,18,-207.36,0,0,0,-24.6,0
3.36,2,0,32,158.86,0,2,0,5.62,0
8.34,2,1,18,83.51,1,0,0,-6.0,0
8.43,4,1,18,396.03,0,0,0,19.25,0
0.65,1,1,8,-242.29,0,0,0,-7.13,0
13.97,5,1,14,-930.21,0,0,0,-0.21,0
4.22,5,1,18,495.55,0,0,0,-17.39,0
10.51,1,1,12,-468.02,0,0,1,-5.16,0
2.31,2,0,22,-553.46,0,0,1,-14.14,0
13.55,4,1,21,-21.56,0,0,0,-12.77,0
2.96,5,1,15,151.14,1,0,0,-0.79,0
0.1,2,0,17,-265.42,1,0,0,-9.1,0
14.15,2,0,23,-269.35,0,0,0,39.44,0
0.57,2,1,21,-195.51,0,1,1,12.54,0
2.31,3,0,16,708.27,2,0,0,16.27,0
17.98,2,0,19,-1.34,1,0,0,-1.66,0
18.05,3,1,12,-483.98,5,2,0,1.59,0
5.11,1,1,16,-478.89,0,1,0,-6.44,0
6.0,1,0,25,-125.44,2,0,0,39.37,1
3.57,2,0,19,118.93,0,0,0,-1.63,0
2.08,2,0,21,241.99,0,0,0,-9.06,1
2.39,2,1,20,62.08,0,0,0,-11.31,0
6.7,2,1,17,-420.94,0,1,0,5.03,0
8.38,2,0,16,-211.97,0,0,0,21.32,0
9.41,1,1,12,366.95,0,0,0,16.3,0
9.35,2,1,10,-573.05,2,0,0,-11.34,0
0.57,5,0,11,-232.88,0,0,0,-11.71,0
4.09,2,1,15,298.73,2,0,1,18.69,0
0.36,2,0,24,437.64,0,0,0,31.52,0
4.78,3,0,15,-96.46,0,0,0,-2.18,0
3.5,5,1,22,-205.6,0,0,1,18.1,0
13.12,1,0,19,-661.06,0,0,0,-21.99,1
2.59,3,1,21,262.82,1,0,0,-12.65,0
0.75,3,0,19,659.39,0,0,0,-15.14,0
0.93,3,1,15,1282.58,0,0,1,6.18,0
8.6,1,1,20,193.22,1,0,0,-2.68,0
5.78,3,0,18,-25.44,0,0,0,3.57,0
0.64,1,1,18,-459.91,0,0,0,18.29,0
0.53,3,0,20,-939.43,0,1,0,-9.8,0
7.24,3,1,18,88.48,0,0,0,1.41,0
0.45,1,1,22,1175.17,1,0,1,-20.07,0
10.35,4,1,18,635.41,0,0,0,17.46,0
7.35,1,1,8,558.28,0,0,0,16.45,0
0.51,4,1,17,122.8,0,0,0,5.43,0
0.53,2,0,26,179.76,1,0,1,1.8,0
25.89,1,0,15,-1211.87,2,0,0,-7.64,0
2.81,1,0,23,381.26,0,0,0,-20.93,0
2.78,5,0,14,-289.67,0,0,1,4.58,0
10.05,1,1,18,-350.86,0,0,1,11.34,0
17.65,1,0,24,-161.63,0,3,0,30.29,0
25.61,2,1,25,-178.5,0,0,0,-5.9,0
8.4,3,0,25,-358.82,1,0,0,4.05,0
2.83,2,1,14,6.94,1,0,1,16.72,0
0.52,1,0,17,-279.14,0,0,1,17.17,0
9.01,2,0,27,50.16,0,1,0,-9.34,0
4.9,1,0,17,-743.59,0,0,0,-4.19,1
3.31,1,0,18,-107.03,2,0,0,-7.88,1
14.21,2,0,22,-548.15,2,1,0,-13.53,1
0.71,3,0,16,-320.72,0,1,0,22.08,0
4.07,1,1,19,71.7,0,0,0,0.94,0
0.1,2,1,19,-802.0,0,0,0,-1.11,0
3.79,2,1,15,-411.2,0,0,0,3.72,0
0.35,5,1,15,284.48,0,0,0,0.81,0
0.76,5,1,18,-706.59,0,0,0,-3.31,0
0.75,4,1,19,888.93,0,0,0,-11.42,0
6.29,1,1,17,602.2,0,0,0,23.48,0
8.22,1,0,17,-247.26,0,0,0,-8.55,1
5.25,2,0,9,-393.6,0,0,0,-13.96,0
19.65,2,1,19,100.97,1,0,0,-1.21,0
2.82,2,1,19,-723.73,0,0,0,32.36,1
2.02,3,1,17,-1001.07,2,0,0,-12.32,1
12.18,4,1,13,-229.67,0,2,0,10.64,0
1.52,4,0,20,-67.02,0,0,0,-3.69,0
19.82,2,1,19,47.21,0,0,0,3.67,0
0.1,3,0,26,-307.37,0,0,0,13.83,0
21.02,2,0,21,636.97,0,0,0,-25.8,0
0.26,1,0,20,-747.57,0,0,0,-13.45,0
13.31,3,1,26,-569.13,2,0,0,13.62,0
4.5,1,0,20,243.32,1,0,0,1.46,0
29.74,2,1,30,-580.82,2,0,0,3.18,0
0.46,2,1,18,-600.16,0,0,0,10.67,0
4.84,3,1,16,61.68,0,1,0,-13.34,0
20.9,3,1,12,-526.76,0,0,0,15.83,0
4.44,2,1,23,-66.54,1,0,0,12.3,0
5.96,4,1,16,-349.93,4,0,1,3.57,1
7.14,2,0,13,-430.83,1,0,0,7.02,0
3.64,2,0,11,-1051.15,0,0,0,17.47,0
5.93,3,1,13,69.78,0,0,1,-8.91,0
5.27,3,1,21,-623.59,0,0,0,9.92,0
13.89,5,0,21,-84.12,0,0,0,26.17,0
0.28,1,1,17,-256.05,0,0,0,9.61,1
1.98,3,0,18,-103.25,0,1,0,-3.34,0
18.02,3,0,15,-74.84,0,0,0,34.77,0
13.26,4,1,18,96.81,0,0,0,3.46,0
3.65,1,1,17,-363.88,0,0,0,20.98,0
5.81,3,1,20,621.35,1,0,0,-6.32,0
1.95,3,1,16,-923.7,0,0,0,16.02,0
1.25,2,1,11,-113.3,0,0,1,-8.2,0
3.74,2,0,21,418.12,0,0,0,4.85,0
2.62,2,1,17,238.39,0,1,0,-9.1,0
5.26,3,1,25,-487.42,0,0,1,28.52,0
0.49,4,0,14,-404.12,2,0,1,-3.32,0
21.99,3,1,28,-503.4,0,0,0,-16.62,0
25.7,3,1,20,299.61,0,0,0,1.43,0
7.19,2,1,16,-369.96,0,0,1,8.06,0
4.61,1,1,26,127.56,0,0,0,-0.4,0
2.22,1,0,22,132.15,0,0,0,-12.2,0
10.09,2,1,14,1184.2,0,0,1,15.56,0
6.93,2,0,13,156.63,0,0,0,18.89,0
1.06,1,1,15,-405.57,2,0,0,-24.72,1
14.51,2,1,22,-730.08,0,1,0,-13.16,0
10.37,2,1,13,-137.93,1,0,0,-2.39,0
17.95,2,0,7,-59.54,0,0,0,-7.96,0
7.76,2,1,16,-1105.35,0,0,0,7.89,0
5.7,1,1,15,-356.93,0,0,0,27.59,0
3.25,5,0,18,148.68,1,0,0,-5.71,0
